Country,2022-05-06,2022-05-12,2022-05-13,2022-05-15,2022-05-17,2022-05-18,2022-05-19,2022-05-20,2022-05-21,2022-05-23,2022-05-24,2022-05-25,2022-05-26,2022-05-27,2022-05-28,2022-05-29,2022-05-30,2022-05-31,2022-06-01,2022-06-02,2022-06-03,2022-06-04,2022-06-06,2022-06-07,2022-06-08,2022-06-09,2022-06-10,2022-06-11,2022-06-12,2022-06-13,2022-06-14,2022-06-15,2022-06-16,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24
England,1,1,1,4,0,2,0,11,0,36,14,7,24,0,0,0,71,11,5,11,15,0,73,18,0,43,0,0,104,0,52,0,46,0,0,0,216,0,0,0,107
Portugal,0,0,0,0,3,11,9,0,0,14,2,10,9,16,0,0,22,4,19,19,5,0,10,13,25,18,0,0,0,0,22,10,0,35,0,0,21,7,13,11,20
Spain,0,0,0,0,0,7,0,23,10,1,4,8,25,21,0,9,8,20,0,26,19,0,17,27,34,0,16,0,0,0,38,0,184,1,0,0,23,0,0,215,0
United States,0,0,0,0,0,1,0,1,0,0,0,2,5,3,0,2,0,5,0,4,5,0,1,6,5,5,2,2,0,16,7,12,16,13,0,0,0,29,14,17,0
Canada,0,0,0,0,0,0,2,3,0,10,0,0,11,0,0,0,0,1,27,23,3,0,1,20,1,11,3,0,0,8,34,0,9,10,0,0,0,33,0,25,0
Belgium,0,0,0,0,0,0,1,2,1,0,0,2,0,0,3,0,0,0,5,0,3,0,0,0,8,0,0,0,0,0,0,27,0,10,0,0,0,15,0,0,0
France,0,0,0,0,0,0,1,0,0,2,2,2,0,0,9,0,1,0,16,0,18,1,0,14,0,25,0,0,0,0,34,0,58,0,0,0,0,94,0,53,0
Italy,0,0,0,0,0,0,1,2,0,1,1,4,3,0,0,1,0,6,2,0,1,0,6,1,2,0,1,5,0,0,1,10,0,23,0,0,0,14,0,0,42
Sweden,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0
Germany,0,0,0,0,0,0,1,1,2,2,6,1,2,6,1,0,3,16,0,17,17,5,0,27,13,30,12,0,1,25,14,45,24,87,1,0,13,66,54,74,110
Australia,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,1,1,4,0,6,0,0,0,0,14,0,0,14,0,0,0,14,0,6,0,0,0,0,20,0,15,0,0,0,0,0,72,0,44
Switzerland,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,2,0,0,2,2,0,2,0,0,5,1,8,2,1,0,0,9,1,5,6,3
Israel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6,2,0,3
Denmark,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,2,1,0,0
Scotland,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,3,0,2,1,0,1,0,0,0,0,1,0,3,0,0,0,2,0,0,0,8
Austria,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,0,0,1,0,0,8
Czech Republic,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Northern Ireland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Wales,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,14,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
